identificador;nombre;tipoMonumento;identificadorBienInteresCultural;calle;clasificacion;tipoConstruccion;codigoPostal;Descripcion;periodoHistorico;coordenadas_latitud;coordenadas_longitud;poblacion_provincia;poblacion_municipio;poblacion_localidad;pto_geolocalizado;poblacion;coordenadas
23968;Monumento rupeste de Vilvestre;Yacimientos arqueológicos;10428;"Dirigirse hacia el ""Castillo""";Yacimiento;Arte rupestre;37258;"<p>Este monumento, descubierto a finales de los a&ntilde;os 60 por D. Luis Benito del Rey, ha sido declarado Bien de Inter&eacute;s Cultural (B.I.C.).</p>
<p>En Vilvestre siempre se ha conocido como un taller neol&iacute;tico, ya que fue la primera hip&oacute;tesis que surgi&oacute;, pero estudios posteriores sostienen que se trata de un santuario prehist&oacute;rico.</p>
<p>En este lugar, excavadas sobre la roca madre, se pueden contemplar numerosas incisiones verticales y cazoletas en la parte superior. La parte inferior la conforma un banco corrido con unas cavidades y un saliente mesiforme.</p>
<p>Est&aacute; situado en lo alto del pueblo en el paraje conocido como El Muro y se considera uno de los monumentos prehist&oacute;ricos m&aacute;s importantes de Europa.</p>";Neolítico;41.104439;-6.730484;Salamanca;Vilvestre;Vilvestre;41.104439,-6.730484;"{""provincia"": ""Salamanca"", ""municipio"": ""Vilvestre"", ""localidad"": ""Vilvestre""}";"{""latitud"": ""41.104439"", ""longitud"": ""-6.730484""}"
23970;Villa Romana de 'Los Villares';Yacimientos arqueológicos;13070;Margen derecha camino de Valdealbín;Yacimiento;Villa;42141;"<p align=""justify"">Se distribuye alrededor de un patio central rodeado de galer&iacute;as en torno a las cuales se organizan las habitaciones principales al Sur, mientras que al Norte parecen ubicarse las dependencias relacionadas con la vida econ&oacute;mica de la villa.</p>
<p align=""justify"">Destacan en ella sobre todo los mosaicos, en su mayor&iacute;a con motivos geom&eacute;tricos y vegetales, as&iacute; como alguno figurado con representaciones mitol&oacute;gicas o de animales.</p>";Romano;41.713276;-3.14885;Soria;Fuentearmegil;Santervás del Burgo;41.713276,-3.14885;"{""provincia"": ""Soria"", ""municipio"": ""Fuentearmegil"", ""localidad"": ""Santervás del Burgo""}";"{""latitud"": ""41.713276"", ""longitud"": ""-3.14885#""}"
23974;Ruinas Ciclopeas;Yacimientos arqueológicos;13776;;Yacimiento;Castro;42260;"<p align=""justify"">El llamado castro ciclopeo se corresponde con un recinto fortificado de aproximadamente 22 m de longitud y 9 m de ancho, formado por grandes bloques de piedra caliza de un tama&ntilde;o que ronda entre 1 y 3 metros.</p>";"Edad del Hierro;Neolítico";41.287282;-2.172314;Soria;Santa María de Huerta;Santa María de Huerta;41.287282,-2.172314;"{""provincia"": ""Soria"", ""municipio"": ""Santa María de Huerta"", ""localidad"": ""Santa María de Huerta""}";"{""latitud"": ""41.287282"", ""longitud"": ""-2.172314""}"
23978;Castro del Buracote;Yacimientos arqueológicos;16786;;Yacimiento;Castro;49318;"<p align=""justify"">El yacimiento se localiza sobre un cerro que domina la confluencia de dos peque&ntilde;os arroyos con el r&iacute;o Tera. Pr&aacute;cticamente todos sus flancos quedan naturalmente defendidos.</p>
<p align=""justify"">Diversas prospecciones documentaron algunos fragmentos cer&aacute;micos a mano muy rodados y casi inclasificables, y su atribuci&oacute;n cultural se encuentra dentro de la Primera y la Segunda Edad del Hierro.&nbsp;Se cree que el poblado segu&iacute;a ocupado entre los siglos III y I a. C, si bien el sistema defensivo data de la Primera Edad del Hierro entre los siglos VIII- IV a. C.</p>
<p align=""justify"">El castro del Buracote, se ha visto afectado en gran medida por el embalse de Valpara&iacute;so. En la parte m&aacute;s afectada por el embalse se encuentran los &uacute;ltimos restos de muralla que hoy en d&iacute;a est&aacute;n pr&aacute;cticamente sepultados por la tierra. El castro estaba reforzado por un sistema defensivo de muralla, foso y campo de piedras hincadas para defenderse de la caballer&iacute;a. Estas piedras llegan a alcanzar los 35 metros de anchura y recrean un ambiente m&iacute;stico, aunque hoy se encuentran bastante cubiertas por la vegetaci&oacute;n.</p>";Edad del Hierro;41.983335;-6.339354;Zamora;Mombuey;Fresno de la Carballeda;41.983335,-6.339354;"{""provincia"": ""Zamora"", ""municipio"": ""Mombuey"", ""localidad"": ""Fresno de la Carballeda""}";"{""latitud"": ""41.983335"", ""longitud"": ""-6.339354""}"
23979;Yacimiento del Abrigo del Castillón. Sta Eulalia de Tábara;Yacimientos arqueológicos;16797;;Yacimiento;Arte rupestre;49148;"<p>Las pinturas de El Abrigo de El Castill&oacute;n se encuentran en un peque&ntilde;o abrigo semicircular, localiz&aacute;ndose en su lado derecho todo el conjunto pict&oacute;rico, a excepci&oacute;n de un motivo que se encuentra fuera del abrigo, en la pared exterior.</p>
<p>Se trata de pinturas rupestres encuadradas dentro del estilo esquem&aacute;tico, pueden identificarse varios grupos de barras, figuras humanas en distinta disposici&oacute;n y otros motivos indeterminados. El color predominante ser&iacute;a el rojo. Cerca de aqu&iacute; hubo un castro situado en la margen derecha del R&iacute;o Esla.</p>";"Edad del Hierro;Edad del Bronce";41.837278;-5.792304;Zamora;Moreruela de Tábara;Santa Eulalia de Tábara;41.837278,-5.792304;"{""provincia"": ""Zamora"", ""municipio"": ""Moreruela de Tábara"", ""localidad"": ""Santa Eulalia de Tábara""}";"{""latitud"": ""41.837278"", ""longitud"": ""-5.792304""}"
23982;Las Cogotas;Yacimientos arqueológicos;720;;Yacimiento;Castro;5320;"<p align=""justify"">Las Cogotas es un poblado de entre los siglos VII a. C. y el III d.C., y cuenta con uno de los castros prerromanos m&aacute;s antiguos de la provincia. Est&aacute; situado en la margen izquierda del r&iacute;o Adaja, dentro del t&eacute;rmino municipal de Carde&ntilde;osa, y tiene unas 14,5 hect&aacute;reas de superficie.</p>
<p align=""justify"">Se halla en un lugar elevado que serv&iacute;a de defensa natural, y que adem&aacute;s se protegi&oacute; con murallas, fosos y campos de piedras hincadas.</p>";Prehistoria;40.728849;-4.701464;Ávila;Cardeñosa;Cardeñosa;40.728849,-4.701464;"{""provincia"": ""Ávila"", ""municipio"": ""Cardeñosa"", ""localidad"": ""Cardeñosa""}";"{""latitud"": ""40.728849"", ""longitud"": ""-4.701464""}"
23990;Necrópolis Altomedieval de Revenga;Yacimientos arqueológicos;3172;Comunero de Revenga;Yacimiento;Necrópolis;9670;"<p align=""justify"">Se configura como un conjunto de alto valor patrimonial por su excelente estado de conservaci&oacute;n y por ser testimonio de las pr&aacute;cticas culturales, funerarias y residenciales del campesinado medieval en el &aacute;mbito rural de Burgos.</p>
<p align=""justify"">La necr&oacute;polis rupestre, situada en una peque&ntilde;a afloraci&oacute;n rocosa, tiene una superficie estimada de 2.000 metros cuadrados, y en ella se han documentado unas 140 sepulturas de diferentes tama&ntilde;os.</p>
<p align=""justify"">El tipo m&aacute;s habitual de enterramiento es el de tumba antropomorfa supuestamente para los hombres y, en menor medida, el de ba&ntilde;era y amigdaloide, que parecen estar destinadas a enterramientos infantiles o femeninos.</p>";"Edad Media;Visigodo";41.959346;-3.011889;Burgos;Quintanar de la Sierra;Quintanar de la Sierra;41.959346,-3.011889;"{""provincia"": ""Burgos"", ""municipio"": ""Quintanar de la Sierra"", ""localidad"": ""Quintanar de la Sierra""}";"{""latitud"": ""41.959346"", ""longitud"": ""-3.011889""}"
23991;Clunia;Yacimientos arqueológicos;2353;;Yacimiento;Ciudad;9419;"<p align=""justify"">Antiguo asentamiento ar&eacute;vaco, donde se hizo fuerte el general Sertorio frente a Pompeyo en el a&ntilde;o 75 a.C. La ciudad tuvo una vida pr&oacute;spera hasta el &uacute;ltimo cuarto del siglo III d.C. conservando su actividad hasta el siglo V d.C.</p>
<p align=""justify"">En el yacimiento se encuentra el mayor Teatro de su tiempo con gran parte de la grader&iacute;a tallada en la roca y una importante muestra de mosaicos, representativos principalmente del gusto y la cultura de los siglos II al IV d.C. Exist&iacute;an dos edificios termales construidos en el siglo I d.C. denominados Los Arcos I y Los Arcos II que superan los 7.000 metros cuadrados.</p>";Romano;41.780556;-3.370556;Burgos;Huerta de Rey;Peñalba de Castro;41.780556,-3.370556;"{""provincia"": ""Burgos"", ""municipio"": ""Huerta de Rey"", ""localidad"": ""Peñalba de Castro""}";"{""latitud"": ""41.780556"", ""longitud"": ""-3.370556""}"
23992;Yacimiento de Rauda;Yacimientos arqueológicos;3242;;Yacimiento;Ciudad;9300;"<p align=""justify"">Desde la prehistoria, Roa se convierte en un lugar frecuentado por las comunidades de agricultores y ganaderos debido a su posici&oacute;n estrat&eacute;gica. Se ha documentado un poblado desde la I Edad del Hierro, formado por gentes de la llamada Cultura del Soto de Medinilla.</p>
<p align=""justify"">Actualmente, la zona arqueol&oacute;gica sigue el exterior de la antigua muralla medieval.</p>
<p align=""justify"">Entre los siglos VI y IV a.C. estos pobladores fabrican cer&aacute;micas a mano, utilizan utensilios de bronce y comienzan a conocer la fabricaci&oacute;n del hierro. En el s. I el territorio se romaniza tras la toma de Numancia y la ciudad queda muy reducida.</p>";Romano;41.697027;-3.927568;Burgos;Roa;Roa;41.697027,-3.927568;"{""provincia"": ""Burgos"", ""municipio"": ""Roa"", ""localidad"": ""Roa""}";"{""latitud"": ""41.697027"", ""longitud"": ""-3.927568""}"
23996;Yacimiento Arqueológico de Lancia;Yacimientos arqueológicos;5942;;Yacimiento;Ciudad;24219;"<p align=""justify"">Al parecer, el solar donde se encuentra la ciudad estuvo ocupado por un peque&ntilde;o n&uacute;cleo en la Edad del Bronce, y en &eacute;poca prerromana fue un poblado astur que contaba con construcciones en adobe, empalizadas, hornos&hellip;&nbsp; donde tambi&eacute;n se localizaron cer&aacute;micas y monedas de la cultura &iacute;bera.</p>
<p align=""justify"">A lo largo del siglo I d. C la ciudad se incorpora el Imperio Romano y alcanza un per&iacute;odo de auge como demuestran las construcciones p&uacute;blicas, la red de alcantarillado y el urbanismo que sigue la planta reticular. A finales del siglo IV o principios del V d. C parece que la ciudad se abandona definitivamente.</p>
<p align=""justify"">Destacan los edificios p&uacute;blicos encontrados, como Las Termas y el Mercado.</p>";Romano;42.529246;-5.428277;León;Villasabariego;Villasabariego;42.529246,-5.428277;"{""provincia"": ""León"", ""municipio"": ""Villasabariego"", ""localidad"": ""Villasabariego""}";"{""latitud"": ""42.529246"", ""longitud"": ""-5.428277""}"
23999;Cripta romana de Cascalería;Yacimientos arqueológicos;;Cascalería s/n;Yacimiento;Cripta;24004;"<p align=""justify"">Galer&iacute;a abovedada de 30 metros de posible edificaci&oacute;n civil, que supone una peque&ntilde;a muestra de los tesoros que se encuentran en el subsuelo de Le&oacute;n, de un gran valor hist&oacute;rico.</p>
<p align=""justify"">En el interior se puede observar una maqueta en la que se detalla el proceso de construcci&oacute;n de esta galer&iacute;a.</p>";Romano;42.596817;-5.569444;León;León;León;42.596817,-5.569444;"{""provincia"": ""León"", ""municipio"": ""León"", ""localidad"": ""León""}";"{""latitud"": ""42.596817"", ""longitud"": ""-5.569444""}"
24001;Campamento Pisoraca;Yacimientos arqueológicos;7353;;Yacimiento;Campamento;34400;"<p align=""justify"">Campamento militar romano cuyos restos se encuentran dispersos en el casco urbano de Herrera de Pisuerga. Se convirti&oacute; en un importante nudo de comunicaciones en la meseta para la salida hacia los puertos cant&aacute;bricos y tambi&eacute;n el transporte de esclavos y cereales.</p>
<p align=""justify"">Fue un importante enclave estrat&eacute;gico en la expansi&oacute;n del Imperio Romano por el norte de la antigua Hispania.</p>";Romano;42.594521;-4.33186;Palencia;Herrera de Pisuerga;Herrera de Pisuerga;42.594521,-4.33186;"{""provincia"": ""Palencia"", ""municipio"": ""Herrera de Pisuerga"", ""localidad"": ""Herrera de Pisuerga""}";"{""latitud"": ""42.594521"", ""longitud"": ""-4.33186#""}"
24006;Monte Cildá;Yacimientos arqueológicos;118227;;Yacimiento;Poblado;34812;"<p align=""justify"">Accediendo desde Olleros de Pisuerga, se ubican las ruinas de la antigua Civitas Maggaviensium (Monte Cild&aacute;), antiguo asentamiento de los Maggavienses, un grupo c&aacute;ntabro ya citado en restos del a&ntilde;o 14 d. C.</p>
<p align=""justify"">Importante y estrat&eacute;gico poblado ind&iacute;gena ocupado por los romanos a partir de las guerras c&aacute;ntabras del 26 al 25 a. C. y, posteriormente, sus habitantes se trasladaron al llano, a Santa Mar&iacute;a de Mave, pero en el siglo IV d.C. volvieron a ocupar Monte Cild&aacute;. Debido a la inestabilidad que imperaba en la &eacute;poca, ya en el siglo V d.C. fue rodeado de murallas.</p>";Romano;42.751342;-4.276577;Palencia;Aguilar de Campoo;Olleros de Pisuerga;42.751342,-4.276577;"{""provincia"": ""Palencia"", ""municipio"": ""Aguilar de Campoo"", ""localidad"": ""Olleros de Pisuerga""}";"{""latitud"": ""42.751342"", ""longitud"": ""-4.276577""}"
24007;Las Cavenes;Yacimientos arqueológicos;8793;La Dehesa. Carretera. C-515 KM. 58,300;Yacimiento;Minas;37621;"<p align=""justify"">Las Cavenes son desmontes mineros producidos por la explotaci&oacute;n del oro en &eacute;poca romana. Forman un paisaje caracter&iacute;stico en el que se pueden apreciar las huellas dejadas en el terreno por los procesos de extracci&oacute;n, transporte, lavado y acumulaci&oacute;n de est&eacute;riles entre la primera mitad del s. I d.C., y finales del s. II d.C., conserv&aacute;ndose de forma excepcional por la fosilizaci&oacute;n del paisaje.</p>";Romano;40.554105;-6.142691;Salamanca;Cabaco (El);Cabaco (El);40.554105,-6.142691;"{""provincia"": ""Salamanca"", ""municipio"": ""Cabaco (El)"", ""localidad"": ""Cabaco (El)""}";"{""latitud"": ""40.554105"", ""longitud"": ""-6.142691""}"
24008;Yacimiento 'El Castillo';Yacimientos arqueológicos;10156;;Yacimiento;Castro;37259;"<p align=""justify"">El yacimiento &lsquo;El Castillo&rsquo; se sit&uacute;a en la margen derecha del r&iacute;o Huebra y es una zona muy escarpada y de dif&iacute;cil acceso. Al norte del castro y antes de acceder a su recinto amurallado se conserva un imponente campo de piedras hincadas, con la muralla justo al sur de este campo.</p>
<p align=""justify"">El recinto amurallado defiende el castro por sus flancos septentrional y oriental, tiene una longitud de pr&aacute;cticamente los 200 m. En el interior del castro se observan restos de varias edificaciones de planta rectangular, camuflados por la espesa vegetaci&oacute;n.</p>";Edad del Hierro;41.017263;-6.650114;Salamanca;Saldeana;Saldeana;41.017263,-6.650114;"{""provincia"": ""Salamanca"", ""municipio"": ""Saldeana"", ""localidad"": ""Saldeana""}";"{""latitud"": ""41.017263"", ""longitud"": ""-6.650114""}"
24012;Dolmen de Terriñuelo;Yacimientos arqueológicos;8671;;Yacimiento;Monumento Megalítico;37779;"<p align=""justify"">Dolmen circular con una entrada que mira al mediod&iacute;a, y la c&aacute;mara del sepulcro, aunque incompleta, conserva 10 ortostatos, que se refieren a cada una de las piedras verticales empleadas en la construcci&oacute;n de una c&aacute;mara megal&iacute;tica.</p>
<p align=""justify"">En las excavaciones efectuadas se encontraron, entre otros, materiales de cer&aacute;mica, varios cuchillos de s&iacute;lex, una hoja de pu&ntilde;al de leng&uuml;eta, punzones, puntas de flecha, una plaquita de oro&hellip;.</p>";Neolítico;40.576658;-5.608824;Salamanca;Aldeavieja de Tormes;Aldeavieja de Tormes;40.576658,-5.608824;"{""provincia"": ""Salamanca"", ""municipio"": ""Aldeavieja de Tormes"", ""localidad"": ""Aldeavieja de Tormes""}";"{""latitud"": ""40.576658"", ""longitud"": ""-5.608824""}"
24017;Cerro de la Virgen del Castillo;Yacimientos arqueológicos;10652;;Yacimiento;Castro;40430;"<p align=""justify"">El castro est&aacute; formado por un doble recinto amurallado, con uno exterior compuesto por bastiones semicirculares. El sistema constructivo de la muralla es similar al de otras fortificaciones peninsulares de &eacute;poca tardorromana.</p>
<p align=""justify"">La primera ocupaci&oacute;n humana&nbsp; del Cerro data de antes de la Edad del Bronce, de la que se conservan&nbsp; grabados rupestres.</p>";;41.142296;-4.319932;Segovia;Bernardos;Bernardos;41.142296,-4.319932;"{""provincia"": ""Segovia"", ""municipio"": ""Bernardos"", ""localidad"": ""Bernardos""}";"{""latitud"": ""41.142296"", ""longitud"": ""-4.319932""}"
24018;Los Cinco Caños;Yacimientos arqueológicos;;;Yacimiento;Edificio Antiguo;40480;"<p align=""justify"">Edificio Romano alto imperial del S. I - II d. C. De planta alargada, con &aacute;bsides cubiertos por b&oacute;vedas y paredes adornadas con estucos pintados.</p>
<p align=""justify"">La funcionalidad del edificio no es conocida pero parece estar relacionada con el agua. Toda la parte izquierda era un gran estanque cuyo revestimiento hoy ha desaparecido, por ello podr&iacute;a ser una vivienda con termas o bien una gran fuente monumental.</p>";Romano;41.218315;-4.52257;Segovia;Coca;Coca;41.218315,-4.52257;"{""provincia"": ""Segovia"", ""municipio"": ""Coca"", ""localidad"": ""Coca""}";"{""latitud"": ""41.218315"", ""longitud"": ""-4.52257#""}"
24020;Cerro de San Isidro;Yacimientos arqueológicos;"10905;10899";C/ de la Iglesia, 7;Yacimiento;Arte rupestre;40495;"<p align=""justify"">Yacimiento de petroglifos (dibujos grabados en la roca) que representan diversas formas de animales, datado a finales del Paleol&iacute;tico Superior. Se superponen figuras de otras &eacute;pocas, desde la Edad Media, con escenas de lucha, caza y pastoreo. Datan de unos 17.000, 15.000 a&ntilde;os antes de Cristo.</p>";Paleolítico;41.109207;-4.379122;Segovia;Domingo García;Domingo García;41.109207,-4.379122;"{""provincia"": ""Segovia"", ""municipio"": ""Domingo García"", ""localidad"": ""Domingo García""}";"{""latitud"": ""41.109207"", ""longitud"": ""-4.379122""}"
24021;Uxama;Yacimientos arqueológicos;"12835;12800";;Yacimiento;Villa;42300;"<p align=""justify"">La vida de Uxama comenz&oacute; en la segunda Edad de Hierro (Siglo IV a.C.) como asentamiento celtib&eacute;rico del grupo ar&eacute;vaco. Estaban organizados en comunidades independientes, eran agricultores, ganaderos y artesanos. De esta etapa se conocen restos de habitaciones semi rupestres aparecidos bajo los cimientos de casas romanas y cientos de tumbas.</p>
<p align=""justify"">Con la romanizaci&oacute;n, en el siglo I, el municipio creci&oacute;, y de esta expansi&oacute;n es ejemplo su red de abastecimiento de aguas. Fue en este momento cuando se le dot&oacute; de edificios p&uacute;blicos, se convirti&oacute; en uno de los principales n&uacute;cleos urbanos de la provincia en &eacute;poca romana.</p>";"Romano;Celtibérico (Arévaco)";41.577075;-3.089401;Soria;Burgo de Osma-Ciudad de Osma;Osma;41.577075,-3.089401;"{""provincia"": ""Soria"", ""municipio"": ""Burgo de Osma-Ciudad de Osma"", ""localidad"": ""Osma""}";"{""latitud"": ""41.577075"", ""longitud"": ""-3.089401""}"
24022;Castro de Zarranzano;Yacimientos arqueológicos;12403;;Yacimiento;Castro;;"<p align=""justify"">El castro de Zarranzano, situado en una ubicaci&oacute;n estrat&eacute;gica natural, sobre un espig&oacute;n fluvial entre la confluencia de los r&iacute;os Tera y Zarranzano y delimitado por escarpes naturales y una potente muralla en su flanco noreste, constituye un singular ejemplo de asentamiento castre&ntilde;o, que permite reconstruir la Edad del Hierro en el norte de la provincia de Soria.</p>
<p align=""justify"">Repite un patr&oacute;n de asentamiento t&iacute;pico de los castros sorianos de la serran&iacute;a norte, en el que priman los aspectos estrat&eacute;gicos y defensivos, conseguidos de forma natural por las abruptas laderas y reforzados de manera artificial.</p>";Edad del Hierro;41.899108;-2.469018;Soria;Almarza;Cubo de la Sierra;41.899108,-2.469018;"{""provincia"": ""Soria"", ""municipio"": ""Almarza"", ""localidad"": ""Cubo de la Sierra""}";"{""latitud"": ""41.899108"", ""longitud"": ""-2.469018""}"
