Fichero actualizado a fecha: 2025-05-07 04:08:56
"Título";"Nombre";"Descripción";"Directorio";"Fotografia";"ExperienciaProfesional";"FechaPosesion";"FormacionAcademica";"LugarNacimiento";"Retribuciones";"Curriculum";"CurriculumLargo";Identificador;actualizacionMetadatos;Enlace al contenido;
"Directora General de Asistencia Sanitaria y Humanización";"Silvia Fernández Calderón";;"Directora General de Asistencia Sanitaria y Humanización";"https://datosabiertos.jcyl.es/web/jcyl/binarios/776/871/22-Cargo-SILVIA-FERNANDEZ-CALDERON.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Médico Urgencias Hospitalarias. Hospital Universitario Río Hortega de Valladolid. De 2015 a la actualidad.</li>
<li>Directora técnica de Atención Especializada en la Gerencia Regional de Salud de Castilla y León. De 2007 a 2015.</li>
<li>Coordinadora de Áreas en la Gerencia de Salud de las Áreas de Valladolid. En 2006</li>
<li>Coordinadora Médica de Equipos de Atención Primaria en la Gerencia de Atención Primaria de Burgos. De 2005 a 2006</li>
<li>Formación del Programa de Formación Sanitaria Especializada en al Área de Salud Oeste de Valladolid. De 2002 a 2005.</li>
<li>Tutora de Formación Sanitaria Especializada en el ámbito de Castilla y León. En 2021. Y tutor de Apoyo del Servicio de Urgencias Hospitalarias del Río Hortega. De 2016 a 2020.</li>
<li>Colaborador Honorífico adscrito al Departamento de Cirugía, Oftalmología, Otorrinolaringología y Fisioterapia de la Universidad de Valladolid. De 2017 a la actualidad.</li>
<li>Participación como Tutor docente en el Programa ATLANTIS de prácticas de observación en el entorno hospitalario para estudiantes de Pre-Medicina de los Estados Unidos.</li>
<li>Participación como Investigador Colaborador en varios estudios en el Servicio de Urgencias Hospitalarias del Hospital Universitario Río Hortega de Valladolid.</li>
<li>Amplia trayectoria en publicaciones y comunicaciones</li>
</ul>";"20221021";"<ul>
<li>Licenciada en Medicina. Universidad de Valladolid. Curso Académico 1999-2000.</li>
<li>Especialista Medicina Familiar y Comunitaria. 2005. Gerencia Atención Primaria Valladolid Oeste.</li>
<li>Médico de Urgencias Hospitalarias. Desde 2012.</li>
<li>Curso 438 ATLS &lsquo;Advanced Trauma Life Support&rsquo; de la Asociación Española de Cirujanos.</li>
<li>Programa C19-SPACE Self Learnig para la atención sanitaria a los pacientes críticos con enfermedad por coronavirus 2019</li>
<li>Experto Internacional en Metodología de la Ventilación Mecánica No Invasiva</li>
<li>Máster Propio en Medicina de Urgencias y Emergencias y Catástrofes. Univ. Card. Herrera. 2018</li>
<li>Full Instructor en SVB y DEA, por el Consejo Europeo de Resucitación. Actualizado 2017.</li>
<li>Programa de Especialización en Alta Dirección y Gestión de Instituciones Sanitarias por IESE.</li>
<li>Máster en Administración Sanitaria por la Escuela Nacional de Sanidad. 2008</li>
<li>Cursos de Doctorado en la Facultad de Medicina de la Universidad de Valladolid. 2004</li>
</ul>";;;;;1285213457787;20230317;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285213457787/Organigrama";
"Directora General de la Mujer";"María Victoria Moreno Saugar";;"Directora General de la Mujer";"https://datosabiertos.jcyl.es/web/jcyl/binarios/191/541/22-Cargo-M-Victoria-Moreno-Saugar_DG-Mujer.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Alcaldesa de Piedralaves 1999-2022</li>
<li>Vicepresidenta Primera de la Diputación Provincial de Ávila 2007-2011</li>
<li>Procuradora en las Cortes de Castilla y León 2011-2015/2015-2019</li>
</ul>";"20220511";"<ul>
<li>Licenciatura en Ciencias Políticas y Sociología. Universidad Complutense de Madrid</li>
</ul>";;;;;1284885307955;20230317;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885307955/Organigrama";
"Director General de Salud Digital";"Juan Manuel Gil González";;"Director General de Salud Digital";"https://datosabiertos.jcyl.es/web/jcyl/binarios/1002/164/20220511-Juan-Manuel-Gil-Gonzalez.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Médico de Admisión y Documentación Clínica del Servicio de Admisión y Documentación Clínica del Hospital Clínico Universitario de Valladolid. Personal Estatutario Fijo por oposición.</li>
<li>Médico de Urgencia Hospitalaria del Servicio de Urgencias del Hospital Universitario Del Río Hortega&rdquo; de Valladolid. Personal Estatutario Fijo por oposición en excedencia.</li>
<li>Médico Adjunto del Servicio de Urgencias del Hospital Del Río Hortega&rdquo; de Valladolid de 1991 a 1996.</li>
<li>Subdirector Médico del Hospital Clínico Universitario de Valladolid de 1996 a 2003.</li>
<li>Director Médico del Hospital Clínico Universitario de Valladolid de 2003 a 2007.</li>
<li>Director Gerente de la Gerencia de Emergencias Sanitarias de Castilla y León de 2007 a 2012.</li>
<li>Director Médico de Atención Primaria del Area Oeste de Valladolid desde 2012 hasta 2019.</li>
<li>Médico del Servicio de Admisión y Documentación Clínica del Hospital Clínico Universitario de Valladolid desde 2020.</li>
<li>Participación en más de 40 comunicaciones en congresos y revistas científicas.</li>
</ul>";"20220511";"<ul>
<li>Médico colegiado por la provincia de Valladolid.</li>
<li>Título de Licenciado en Medicina y Cirugía en 1985 (Facultad de Medicina de Valladolid). Calificación: Sobresaliente y Matricula de Honor.</li>
<li>Especialista en Medicina Familiar y Comunitaria.</li>
<li>Doctor en Medicina y Cirugía. Título de la Tesis Doctoral: Análisis de la Demanda Asistencial Urgente Hospitalaria&rdquo;. Calificación: Apto cum Laude&rdquo;.</li>
<li>Master en Salud Pública y Administración Sanitaria. ? Master en Dirección de Empresas (MBA).</li>
<li>Superado el Foreign Medical Graduate Examination in the Medical Sciences&rdquo; (FMGEMS) de la Educational Commision for Foreign Medical Graduates&rdquo; de Estados Unidos.</li>
<li>Especialista Universitario en Medicina de Urgencias y Emergencias. Certificado de Medicina de Urgencias y Emergencias.</li>
<li>Especialista Universitario en Acreditación de Centros y Servicios Sanitarios.</li>
<li>Especialista Universitario en Gestión de Servicios de Prevención y Salud Laboral.</li>
<li>Especialista Universitario en Gestión de Sistemas de Información Sanitaria.</li>
<li>Especialista en Salud Pública.</li>
</ul>";;;;;1284885310015;20220608;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885310015/Organigrama";
"Directora General de Salud Pública";"Sonia Tamames Gómez";;"Directora General de Salud Pública";"https://datosabiertos.jcyl.es/web/jcyl/binarios/60/931/20220428-SONIA-TAMAMES-DG-Salud-Publica.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Desde nov-2009: Junta de Castilla y León</li>
<li>Desde dic-2019: Técnico Facultativo del Servicio del Información en Salud Pública, Dirección Gral. de Salud Pública (DGSP)</li>
<li>Feb-2014 / dic-2019: Jefe de Servicio de Epidemiología, DGSP</li>
<li>Oct-2013 / sep-2014: Jefe de Servicio de Promoción de la Salud, DGSP</li>
<li>Sep-2011 / oct-2013: Técnico Facultativo del Servicio de Investigación, Dirección Gral de Planificación</li>
<li>Nov-2009 a sep-2011: Jefe de Servicio del Observatorio de Salud Pública, DGSP</li>
<li>Jun-2009 / nov-2009: Jefe de Servicio de Sanidad Exterior, Delegación del Gobierno en Cantabria</li>
<li>Oct-2008 / sep-2009: Profesora Asociada del Área de Medicina Preventiva y Salud Pública,</li>
<li>Universidad de Valladolid (UVa)</li>
<li>Jun-2008 / jun-2009: beca pre-doctoral en el Centro Nacional de Gripe de la UVa</li>
<li>May-2004 / jun-2008: Médico Interno Residente de Medicina Preventiva y Salud Pública, Hospital</li>
<li>Clínico Universitario de Valladolid</li>
</ul>";"20211227";"<ul>
<li>Licenciada en Medicina, Universidad de Valladolid, 2003.</li>
<li>Máster en Salud Pública, Escuela Nacional de Sanidad del ISCIII, 2005.</li>
<li>Máster en Metodología de la Investigación, Universidad Autónoma de Barcelona, 2010.</li>
<li>Doctorado por la Universidad de Valladolid, 2011</li>
<li>Otros cursos de post-grado relevantes:
<ul>
<li>Evaluación económica de programas de vacunación. Universidad Carlos III, Madrid (2020)</li>
<li>Mathematical modelling for the control of infectious diseases. Imperial College, London (2016)</li>
<li>Programa de Gestión Sanitaria. IESE Business School, Universidad de Navarra (2010)</li>
<li>Experto en Vacunas. Universidad Complutense, Madrid (2009)</li>
</ul>
</li>
</ul>";;;;;1285124420842;20220623;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1285124420842/Organigrama";
"Director General del Tesoro y de Política Financiera";"Fernando Vallelado Prieto";;"Director General del Tesoro y de Política Financiera";"https://datosabiertos.jcyl.es/web/jcyl/binarios/554/1007/22-Tesorero-Vallelado.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionario de carrera del Cuerpo Superior de la Administración Económico-Financiera de la Comunidad de Castilla y León.</li>
<li>En la Administración Regional ha ocupado los puestos de técnico del Servicio de Estudios, jefe de la Sección de Gestión Económica del Servicio de Asuntos Económicos, jefe del Servicio de Estudios de la Dirección General de Presupuestos y Programación de la Consejería de Economía y Hacienda y, jefe del Servicio de Contabilidad en la Intervención General de la Administración de la Comunidad de Castilla y León.</li>
<li>Entre 2003 y 2015 desempeñó el cargo de Tesorero General de la Administración de la Comunidad.</li>
</ul>";"20150924";"<ul>
<li>Licenciado en Ciencias Económicas y Empresariales por la Universidad de Valladolid</li>
</ul>";;;;;1284885381933;20220705;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885381933/Organigrama";
"Director General de Deportes";"Enrique Sánchez-Guijo Acevedo";;"Director General de Deportes";"https://datosabiertos.jcyl.es/web/jcyl/binarios/481/569/Enrique-Sanchez-Guijo-DG-Deportes.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Campeón Paralímp&igrave;co</li>
<li>Ex Presidente del Comité Paralímpico Europeo</li>
<li>Profesor de Sports Management en IE Business School</li>
<li>Socio Fundador de Diplosport Diplomacia Deportiva</li>
<li>Concejal de Economía, Empleo y Deportes del Excmo. Ayto. de Salamanca</li>
<li>Medalla de Oro al Mérito Deportivo de la Junta de Castilla y León y del gobierno de España</li>
<li>Cruz de Plata de la Orden Civil de la Solidaridad Social (Gobierno de España)</li>
</ul>";"20220429";"<ul>
<li>Licenciado en Ciencias Económicas y Máster MBA.</li>
</ul>";;;;;1284885400117;20220504;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885400117/Organigrama";
"Director General de Desarrollo Rural";"Jorge Izquierdo Arribas";;"Director General de Desarrollo Rural";"https://datosabiertos.jcyl.es/web/jcyl/binarios/318/856/22-Cargo-JORGE-IZQUIERDO-ARRIBAS.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionario en la administración de Castilla y León, en el Cuerpo Facultativo Superior de Ingenieros Agrónomos</li>
<li>Jefe de Servicio de Infraestructuras Agrarias la D.G. de Desarrollo Rural (desde el 2020 hasta la actualidad)</li>
<li>Técnico asesor en el Servicio de Infraestructuras agrarias la D.G. de Producción Agropecuaria e Infraestructuras Agrarias. Desarrolla zonas regables, con actuaciones en más de 4000 ha, incluyendo el proyecto y dirección de obras de regadío, donde realiza la puesta en marcha de las balsas y presas de regulación (del 2015 al 2019)</li>
<li>Jefe de Sección de ejecución de obras en el Servicio de Infraestructuras Agrarias la D.G. de Infraestructura y Diversificación Rural, impulsando la creación de zonas regables, proyectos y dirección de obras de regadíos y caminos de concentración parcelaria (del 2009 al 2014)</li>
<li>Técnico facultativo en el Servicio de Ordenación de Explotaciones de la D.G. de Desarrollo Rural. Tareas de revisión de los documentos técnicos de concentraciones parcelarias, tramitación ambiental y elaboración de la página web de concentración parcelaria. (del 2006 al 2008)</li>
<li>Técnico facultativo en el Área de Estructuras del Servicio Territorial de Agricultura y Ganadería de Salamanca. Redacción de proyectos, dirección de obras de infraestructuras rurales y trabajos de concentración parcelaria (del 2003 al 2005)</li>
<li>Coordinador y ponente colaborador de la ECLAP, en diferentes cursos del Plan General como los de Procedimientos administrativos de la Concentración Parcelaria, Proyectos de obras, Dirección de obras, Tramitación electrónica de expedientes de obras, y otros cursos sectoriales de la Consejería de Agricultura y Ganadería en materia de estructuras agrarias (desde el 2008 hasta la actualidad)</li>
</ul>";"20220511";"<ul>
<li>.Ingeniero Agrónomo por la ESTIA de la Universidad de León e Ingeniero Técnico Agrícola por la ETSIA de la Universidad de Valladolid.</li>
<li>Especialista en Evaluación en Impacto Ambiental y Sistemas de Información Geográfica por la Universidad de Valladolid.</li>
</ul>";;;;;1284885309185;20220616;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885309185/Organigrama";
"Directora General de Personal y Desarrollo Profesional";"Elena Cámara Gamero";;"Directora General de Personal y Desarrollo Profesional";"https://datosabiertos.jcyl.es/web/jcyl/binarios/663/270/20220511-Elena-Camara-Granero.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionaria por oposición libre del Cuerpo Superior de la Administración de la Comunidad de Castilla y León.</li>
<li>En su trayectoria profesional ha desempañado distintos puestos en la Administración de la Comunidad de Castilla y León. Inició su carrera profesional en el Servicio Territorial de Medio Ambiente de Burgos, pasando posteriormente a la Dirección General de Juventud de la Consejería de Familia e Igualdad de Oportunidades, en la que ha desempeñado los puestos de técnico superior y de jefe de sección. Posteriormente desempeñó el puesto de Jefe de Servicio de Estudios, Documentación y Estadística en la Consejería de Sanidad, (De 2011 a 2017)</li>
<li>También ha trabajado en la Administración General del Estado, donde ha sido Consejera técnica del Director General de Ordenación Profesional en el Ministerio de Sanidad, Servicios Sociales e Igualdad (Septiembre de 2017 a diciembre de 2018)</li>
<li>En 2019 fue nombrada Jefe de Unidad de Régimen Jurídico en la Dirección General de Recursos Humanos y Relaciones Laborales del Servicio de Salud Madrileño (SERMAS) de la Consejería de Sanidad de la Comunidad de Madrid.</li>
</ul>";"20220511";"<ul>
<li>Licenciada en Derecho por la Universidad de Burgos.</li>
</ul>";;;;;1284885309885;20230317;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885309885/Organigrama";
"Directora General de Economía Social y Autónomos";"Mª Emma Fernández Rodríguez";;"Directora General de Economía Social y Autónomos";"https://datosabiertos.jcyl.es/web/jcyl/binarios/494/259/22-Cargo-EMMA-FERNANDEZ-DTORA-ECONIMIA-SOCIAL-01.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Experiencia en instituciones europeas a través de la colaboración con la Dirección General de Comercio de la Comisión Europea (1999-2000) en modalidad de prácticas y la evaluación externa independiente de propuestas para los programas COSME (Agencia EASME, 2015) y Horizonte Europa (Agencia CINEA, 2021 y 2022);</li>
<li>Experiencia en la administración pública provincial como coordinadora de proyectos europeos en la Diputación Provincial de Valladolid (2010-2012) y en la administración pública regional, como técnico de fondos y proyectos europeos en la Gerencia de Servicios Sociales de la Consejería de Familia e Igualdad de Oportunidades, Junta de Castilla y León (2021-2022);</li>
<li>Amplia trayectoria en entidades privadas, desempeñando tareas relacionadas con la consultoría de fondos y proyectos europeos (ESIN Consultores, 1999), el desarrollo del sector financiero y el diseño de eventos formativos en movilización del ahorro y microfinanzas para entidades de diversos países en África, Asia-Pacífico y Latinoamérica (Instituto Mundial de Cajas de Ahorros, 2000-2007), la promoción de la Comunidad de Madrid como centro financiero internacional (Madrid Network, 2008-2010) y la promoción de la innovación abierta en materia de autonomía personal y vida independiente (clúster SIVI, 2013-2016);</li>
<li>Experiencia en el tercer sector de acción social, ocupando diversos puestos en la Oficina Autonómica de Cruz Roja Española en Castilla y León (2016-2021) destinados a la gestión de programas para colectivos en situación de vulnerabilidad y/o exclusión social (personas mayores, personas solicitantes y beneficiarias de protección internacional, personas afectadas por drogodependencias) así como a la dirección del Centro de Operaciones Autonómico, impulsando la innovación en la prestación del servicio autonómico de teleasistencia y la coordinación autonómica de los servicios de socorros y emergencias.</li>
</ul>";"20220511";"<ul>
<li>Licenciada en Ciencias Económicas y Empresariales con especialidad en Dirección Comercial, Facultad de Ciencias Económicas y Empresariales, Universidad de Valladolid (1993-1998); cuarto año cursado en The University of Birmingham (Reino Unido) a través del programa Erasmus- Sócrates (1996-1997);</li>
<li>Especialista en Comercio Internacional, Cámara Oficial de Comercio e Industria de Valladolid (1999);</li>
<li>Licenciada en Psicología Clínica, Universidad Nacional de Educación a Distancia (2005-2015).</li>
</ul>";;;;;1284885494206;20230317;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885494206/Organigrama";
"Director General de Energía y Minas y director del Ente Público Regional de la Energía";"Alfonso Arroyo González";;"Director General de Energía y Minas";"https://datosabiertos.jcyl.es/web/jcyl/binarios/764/897/19-DG-Energia-EREN-ALFONSO-ARROYO,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionario de carrera del Cuerpo Superior de la Administración de la Comunidad de Castilla y León desde 2004.</li>
<li>En 2009, se incorpora a la Dirección General de Energía y Minas de la Consejería de Economía y Hacienda, como Jefe de la Unidad de Gestión y Apoyo. Desde 2011 hasta agosto de 2019 Coordinador de Servicios de la citada Dirección General.</li>
<li>En agosto de 2019 es nombrado Director General de Energía y Minas y Director del Ente Regional de la Energía de Castilla y León (EREN).</li>
<li>En la actualidad es Vicepresidente de energías renovables de FEDARENE (Federación de Agencias Regionales Europeas de Energía), habiendo desempeñado la Presidencia de ENERAGEN (Asociación Española de Agencias de Energía) en el periodo 2019-2021.</li>
<li>Vicepresidente de la Fundación Santa Bárbara; vocal de la Comisión Regional de Minería de Castilla y León, de la Mesa Autonomica de Trabajo para la Transición Justa y del Comité de Seguimiento del Plan de Dinamización Económica de los Municipios Mineros de Castilla y León.</li>
<li>Con anterioridad ha desempeñado diferentes puestos de responsabilidad en la Secretaría General de Economía y Hacienda como Jefe de Servicio de Normalización de la Contratación y Secretario de la Junta Consultiva de Contratación Administrativa de Castilla y León (2008-2009), y como Técnico Superior en el Servicio de Evaluación Normativa y Procedimiento(2004-2008). Se incorporó a la carrera funcionarial como T.S. en la Consejería de Agricultura y Ganadería (D.G. de Producción Agropecuaria).</li>
</ul>";"20190802";"<ul>
<li>Licenciado en Derecho por la Universidad de Valladolid.</li>
</ul>";;;;;1284885304162;20220705;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885304162/Organigrama";
"Director General de Formación Profesional y Régimen Especial";"Agustín Francisco Sigüenza Molina";;"Director General de Formación Profesional y Régimen Especial";"https://datosabiertos.jcyl.es/web/jcyl/binarios/353/28/20-DG-de-FP-Regimen-especial-y-Equidad-AGUSTIN-FRANCISCO-SIGUENZA,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Director General de Formación Profesional, Régimen Especial y Equidad Educativa de la Consejería de Educación de la Junta de Castilla y León, desde 2019 hasta la actualidad.</li>
<li>Director General de Formación Profesional y Régimen Especial de la Consejería de Educación de la Junta de Castilla y León, de 2016 a 2019.</li>
<li>Director Provincial de Educación de Valladolid entre los años 2012 y 2015.</li>
<li>Jefe del Servicio de las Cualificaciones y de la Acreditación de la Competencia Profesional en la Consejería de Educación.</li>
<li>Técnico en el Servicio de Formación Profesional de la Dirección General de Formación Profesional de la Consejería de Educación.</li>
<li>Técnico Asesor en el Servicio de Educación de Personas Adultas y Alumnos</li>
<li>Profesor en la Escuela de Ingenieros Técnicos Agrícolas del Instituto Nevares de Empresarios Agrarios</li>
<li>Profesor en la Escuela de Magisterio Fray Luis de León de Valladolid.</li>
<li>Profesor No Numerario y Profesor Asociado a Tiempo Completo en la Facultad de Educación de Valladolid y en la Facultad de Medicina de Valladolid,</li>
<li>Profesor de Educación Secundaria, desempeñando funciones docentes en Institutos de Educación Secundaria de Castilla y León.</li>
<li>Asesor de Formación del Profesorado en la red de Centros de Profesores y Recursos de Castilla y León</li>
<li>Asesor Técnico Docente del Área de Programas Educativos de la Dirección Provincial de Educación de Valladolid.</li>
<li>Autor de numerosas publicaciones de tipo científico y didáctico, y ha impartido un gran número de ponencias en jornadas técnicas, seminarios y congresos en el ámbito de la Educación y la Formación Profesional.</li>
</ul>";"20220511";"<ul>
<li>Licenciado en Ciencias Biológicas por la Universidad de Salamanca</li>
<li>Doctor en Ciencias (Sección Químicas) por la Universidad de Valladolid.</li>
<li>Postgrado en Educación de Personas Adultas por la Universidad Nacional de Educación a Distancia.</li>
</ul>";;;;;1284885306288;20220516;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885306288/Organigrama";
"Director General de Infraestructuras y Sostenibilidad Ambiental";"José Manuel Jiménez Blázquez";;"Director General de Infraestructuras y Sostenibilidad Ambiental";"https://datosabiertos.jcyl.es/web/jcyl/binarios/770/456/22-Cargo-JOSE-MANUEL-JIMENEZ-BLAZQUEZ-DG-Infra-MAM.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<ul>
<li>Funcionario del Cuerpo Facultativo Superior (Ingeniero de Montes) de la Administración de la Comunidad de Castilla y León desde 1992.</li>
<li>Técnico responsable de diversos ámbitos de la Dirección General del Medio Natural (Incendios, Viveros Forestales, Propiedad Pública, Caza y Pesca) hasta 1997.</li>
<li>Desde 1997 hasta julio de 2003 jefe del Servicio de Gestión Presupuestaria de la Consejería de Medio Ambiente.</li>
<li>En julio de 2003 fui nombrado Secretario General de la Consejería de Medio Ambiente, desempeñando dicho cargo hasta julio de 2007.</li>
<li>Desde julio de 2007 hasta junio de 2011 Viceconsejero de Desarrollo Sostenible de la Consejería de Medio Ambiente.</li>
<li>Desde julio de 2011 hasta julio de 2019 Director General de Calidad y Sostenibilidad Ambiental de la Consejería de Fomento y Medio Ambiente.</li>
<li>Desde julio de 2019 hasta mayo de 2022 Jefe de Servicio de Evaluación Ambiental de la Consejería de Fomento y Medio Ambiente -</li>
<li>Desde mayo de 2022 hasta hoy Director General de Infraestructuras y Sostenibilidad Ambiental de la Consejería de Medio Ambiente, Vivienda y OT</li>
<li>Desde diciembre de 2011 hasta hoy Consejero Delegado de la Sociedad Pública de Infraestructuras y Medio Ambiente de Castilla y León.</li>
</ul>";"20220511";"<ul>
<li>Ingeniero de Montes por la Universidad Politécnica de Madrid (1990)</li>
</ul>";;;;;1284885307946;20231005;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284885307946/Organigrama";
"Director General de Innovación y Formación del Profesorado";"Luis Domingo González Núñez";;"Director General de Innovación y Formación del Profesorado";"https://datosabiertos.jcyl.es/web/jcyl/binarios/42/957/20-Dir-Gral-Innovacion-y-F-Profesorado-LUIS-DOMINGO-GONZALEZ,0.jpg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"<p>Funcionario de carrera del Cuerpo de Maestros (1984-2009)</p>
<p>Alcalde de Rio Quintanilla -Burgos- (1989-1991).</p>
<p>Concejal de Miranda y Diputado Provincial en Burgos (1991-1999).</p>
<p>Procurador Autonómico por Burgos (1999-2011).</p>
<p>Portavoz en la Comision de Cultura y Turismo de las Cortes de Castilla y Leon (2003-2011)</p>
<p>Delegado Territorial de la Junta de Castilla y Leon en Palencia (2011-2019)</p>";"20191014";"<ul>
<li>Diplomado en Profesorado de EGB (Escuela Universitaria de Burgos)</li>
<li>Licenciado en Geografia e Historia (Universidad de Valladolid)</li>
</ul>
<p></p>";;;;;1284892536424;20220623;"https://gobierno.jcyl.es/web/jcyl/Gobierno/es/Plantilla100Detalle/1246464876027/Cargo/1284892536424/Organigrama";
